review,real,predicted,tipo_error
whatsapp i use this app now that blackberry messenger has basically gone away. my friends & family live all over the world. this really helps keep us in touch!,1,0,Falso Negativo
usefully verry  nice app,1,0,Falso Negativo
"can't switch back you have to go to phone setting to switch to another keyboard. you should add choose input method on keyboard. if i'm missing it, teach me how to find that",1,0,Falso Negativo
best app i can't believe that it is free! they treat it as if you paid for it.,1,0,Falso Negativo
excellent a excellent option if you are looking for a good browser which has speed and is less complicated too and solves most of the search options with built in quick links .good one mait !!!!!!,1,0,Falso Negativo
loved it i loooooooooooooovvved it because it is incredible  awesome  and it's in go power and make a new clash of clans the same thing  butt better,1,0,Falso Negativo
"lacks caps lock function because there is no caps lock function its really bothering when we have to type words with all capital letter... i will rate it five star, even higher if possiple, if the caps lock function is added...",1,0,Falso Negativo
fixed sticky notification :) but can't sign in :( the stick notification is not displayed is fixed thank u :) but can't log in please help,1,0,Falso Negativo
"awesome browser really easy to use, and more importantly allows you to install ad block extension, to get rid off annoying ads. love it",1,0,Falso Negativo
i love this app i love this app & its better than before now ..,1,0,Falso Negativo
love this app all in one nepalese app ...,1,0,Falso Negativo
"very good, but reposition and either fix or remove the 'share link' button. the 'bookmarks not syncing' issue was fixed a while back. i have been happy with this app for a while now, i just forgot to change my previous review. that isn't to say that it is without its problems, however. having gotten used to chrome, i find myself pressing 'share link' rather than 'open link in new tab'. while this normally isn't a problem, lately pressing 'share link' causes the app to crash. please either fix this issue and reposition 'share link' lower or remove it altogether.",1,0,Falso Negativo
viber s.a.r.l. this app helps me to stay in contact while also having video options and picture options. really nice app and pretty stable running. just a few video and audio issues as well as video and call drops which can be annoying. sometimes the app is unstable but is mostly attributed to network issues rather than the app itself. i recommend this app.,1,0,Falso Negativo
"it's all awesome. can you devs please add more emojis when you have time :) no hurry, keep up the good work &lt;3",1,0,Falso Negativo
"edit: wakelock has been fixed. thanks!      i used to love this app, but the latest version is holding massive wakelocks and burning through my battery.  would be 5 stars without this but essentially unusable now.  please fix this battery hog and it will be a 5-star app again!",1,0,Falso Negativo
"add :  search people if you don't have the persons number , but they have whatsapp you should be able to search their name and then , add them or something . then it would be 5 stars ...",1,0,Falso Negativo
very solid my one real complaint is no way to make anchor tags within a note so i can make a table of contents. otherwise great application.,1,0,Falso Negativo
"fun works perfectly well. ads aren't as annoying as you think, especially for a free game.",1,0,Falso Negativo
nice easy way to known about every things.,1,0,Falso Negativo
"less space is the magic a complete package with very less space. but still, i would love to see a bit modern design!",1,0,Falso Negativo
good,1,0,Falso Negativo
won't make calls i have 5 bars on verizon 4g but it keeps saying can not connect call.  so far had only connected 1 call when i had 1 bar and the other person couldn't hear me. i have tried at over 20 different locations in the city i live in all around 4 or 5 bars.  no calls can be made.  fix this.,1,0,Falso Negativo
wonderful for project coordination this is a great tool to have when coordinating projects. it keeps everyone on the same page and in communication.,1,0,Falso Negativo
for storage setting you guyz should work on storage options of whatsapp everything goes on internal memory i am not able to transfer my media files to sd card otherwise app is cool!!!,1,0,Falso Negativo
"easy to use, safe super easy to use! fantastic online backup/storage app. two-step verification makes this relatively safe",1,0,Falso Negativo
"the best mobile browser ever opera mini is still the best mobile browser in terms of data saving. however, the browser doesn't support gif animation/image, it doesn't support themes, night mode is not impressive, saved pages should be accessed locally and transferable to other opera mini device/browser. above all it's a good browser with beautiful ui; it's my number one choice browser. thumbs up guys!",1,0,Falso Negativo
best free note ever !!! sometimes evernote pop up to purchase premium but its not annoying .. features and multiple devices support are very wide use. awesome and i love it.,1,0,Falso Negativo
"great features on firefox usually i use chrome that it's a great app, but now firefox upgrade with great features. include video player better and downloading. you can install and experience yourself, have fun and give them a great vote.",1,0,Falso Negativo
"great features, but my notifications don't work title says it all, the app says i should be getting the notifications on my phone but i'm not getting any. would rate 5 stars if this was resolved.",1,0,Falso Negativo
